,,wavelength pm,,,
0.211,1253,0.00E+00,,,
3.405,1240,2.95E-02,,,
6.599,1242,2.50E-02,,Mean ,2.27E-15
9.803,1246,1.59E-02,,std,5.00E-17
13.006,1264,-2.50E-02,,,
16.211,1271,-4.09E-02,,,
19.405,1269,-3.63E-02,,,
22.6,1267,-3.18E-02,,,
25.805,1267,-3.18E-02,,,
29,1259,-1.36E-02,,,
32.205,1264,-2.50E-02,,,
35.419,1264,-2.50E-02,,,
38.631,1266,-2.95E-02,,,
41.835,1266,-2.95E-02,,,
45.029,1275,-4.99E-02,,,
48.222,1260,-1.59E-02,,,
51.425,1269,-3.63E-02,,,
54.62,1255,-4.54E-03,,,
57.815,1268,-3.41E-02,,,
61.009,1266,-2.95E-02,,,
64.202,1248,1.14E-02,,,
67.395,1267,-3.18E-02,,,
70.598,1258,-1.14E-02,,,
73.793,1264,-2.50E-02,,,
76.996,1255,-4.54E-03,,,
80.198,1254,-2.27E-03,,,
83.404,1264,-2.50E-02,,,
86.597,1256,-6.81E-03,,,
89.795,1242,2.50E-02,,,
92.989,1251,4.54E-03,,,
96.184,1257,-9.08E-03,,,
99.391,1245,1.82E-02,,,
102.584,1262,-2.04E-02,,,
105.778,1253,0.00E+00,,,
108.992,1241,2.72E-02,,,
112.186,1246,1.59E-02,,,
115.382,1252,2.27E-03,,,
118.577,1256,-6.81E-03,,,
121.772,1257,-9.08E-03,,,
124.968,1252,2.27E-03,,,
128.173,1255,-4.54E-03,,,
131.368,1241,2.72E-02,,,
134.571,1258,-1.14E-02,,,
137.766,1236,3.86E-02,,,
140.958,1246,1.59E-02,,,
144.153,1245,1.82E-02,,,
147.347,1233,4.54E-02,,,
150.561,1235,4.09E-02,,,
153.754,1249,9.08E-03,,,
156.948,1246,1.59E-02,,,
160.142,1237,3.63E-02,,,
163.336,1241,2.72E-02,,,
166.529,1227,5.90E-02,,,
169.722,1247,1.36E-02,,,
172.915,1236,3.86E-02,,,
176.109,1234,4.31E-02,,,
179.312,1241,2.72E-02,,,
182.516,1237,3.63E-02,,,
185.709,1227,5.90E-02,,,
188.903,1251,4.54E-03,,,
192.097,1243,2.27E-02,,,
195.298,1251,4.54E-03,,,
198.501,1226,6.13E-02,,,
201.696,1244,2.04E-02,,,
204.94,1239,3.18E-02,,,
208.136,1223,6.81E-02,,,
211.341,1241,2.72E-02,,,
214.537,1241,2.72E-02,,,
217.739,1238,3.41E-02,,,
220.934,1239,3.18E-02,,,
224.126,1246,1.59E-02,,,
227.327,1229,5.45E-02,,,
230.521,1223,6.81E-02,,,
233.715,1238,3.41E-02,,,
236.919,1240,2.95E-02,,,
240.113,1233,4.54E-02,,,
243.306,1235,4.09E-02,,,
246.499,1227,5.90E-02,,,
249.702,1242,2.50E-02,,,
252.896,1243,2.27E-02,,,
256.1,1225,6.36E-02,,,
259.303,1246,1.59E-02,,,
262.496,1238,3.41E-02,,,
265.699,1238,3.41E-02,,,
268.902,1239,3.18E-02,,,
272.116,1238,3.41E-02,,,
275.321,1234,4.31E-02,,,
278.517,1227,5.90E-02,,,
281.711,1244,2.04E-02,,,
284.905,1223,6.81E-02,,,
288.099,1241,2.72E-02,,,
291.303,1241,2.72E-02,,,
294.496,1238,3.41E-02,,,
297.699,1234,4.31E-02,,,
300.903,1236,3.86E-02,,,
304.096,1235,4.09E-02,,,
307.289,1235,4.09E-02,,,
310.494,1236,3.86E-02,,,
313.687,1241,2.72E-02,,,
316.881,1237,3.63E-02,,,
320.076,1246,1.59E-02,,,
323.268,1241,2.72E-02,,,
326.461,1234,4.31E-02,,,
329.664,1248,1.14E-02,,,
332.869,1239,3.18E-02,,,
336.062,1245,1.82E-02,,,
339.256,1229,5.45E-02,,,
342.45,1223,6.81E-02,,,
345.643,1236,3.86E-02,,,
348.847,1243,2.27E-02,,,
352.051,1230,5.22E-02,,,
355.265,1242,2.50E-02,,,
358.479,1242,2.50E-02,,,
361.673,1236,3.86E-02,,,
364.878,1237,3.63E-02,,,
368.074,1231,4.99E-02,,,
371.267,1217,8.17E-02,,,
374.473,1215,8.63E-02,,,
377.676,1230,5.22E-02,,,
380.871,1216,8.40E-02,,,
384.076,1233,4.54E-02,,,
387.281,1239,3.18E-02,,,
390.477,1239,3.18E-02,,,
393.679,1239,3.18E-02,,,
396.873,1238,3.41E-02,,,
400.075,1227,5.90E-02,,,
403.279,1229,5.45E-02,,,
406.483,1239,3.18E-02,,,
409.677,1241,2.72E-02,,,
412.872,1238,3.41E-02,,,
416.065,1240,2.95E-02,,,
419.27,1240,2.95E-02,,,
422.463,1241,2.72E-02,,,
425.657,1232,4.77E-02,,,
428.871,1224,6.58E-02,,,
432.065,1225,6.36E-02,,,
435.259,1228,5.68E-02,,,
438.463,1240,2.95E-02,,,
441.67,1233,4.54E-02,,,
444.923,1233,4.54E-02,,,
448.116,1229,5.45E-02,,,
451.33,1233,4.54E-02,,,
454.526,1234,4.31E-02,,,
457.719,1239,3.18E-02,,,
460.933,1239,3.18E-02,,,
464.148,1230,5.22E-02,,,
467.341,1245,1.82E-02,,,
470.545,1240,2.95E-02,,,
473.749,1240,2.95E-02,,,
476.943,1236,3.86E-02,,,
480.136,1239,3.18E-02,,,
483.33,1237,3.63E-02,,,
486.535,1230,5.22E-02,,,
489.732,1237,3.63E-02,,,
492.935,1243,2.27E-02,,,
496.129,1235,4.09E-02,,,
499.33,1236,3.86E-02,,,
1039.518,1231,4.99E-02,,,
1042.709,1234,4.31E-02,,,
1053.877,1238,3.41E-02,,,
1057.07,1237,3.63E-02,,,
1060.282,1233,4.54E-02,,,
1063.485,1223,6.81E-02,,,
1066.678,1238,3.41E-02,,,
1069.871,1238,3.41E-02,,,
1073.065,1211,9.53E-02,,,
1076.257,1229,5.45E-02,,,
1079.45,1228,5.68E-02,,,
1082.65,1212,9.31E-02,,,
1085.843,1208,1.02E-01,,,
1199.783,1211,9.53E-02,,,
1202.976,1214,8.85E-02,,,
1263.417,1188,1.48E-01,,,
1266.62,1208,1.02E-01,,,
1269.834,1197,1.27E-01,,,
1273.039,1201,1.18E-01,,,
1276.233,1207,1.04E-01,,,
1279.426,1190,1.43E-01,,,
1282.63,1199,1.23E-01,,,
1285.824,1183,1.59E-01,,,
1289.027,1192,1.38E-01,,,
1292.22,1199,1.23E-01,,,
1295.416,1203,1.14E-01,,,
1298.608,1197,1.27E-01,,,
1301.801,1183,1.59E-01,,,
1304.993,1197,1.27E-01,,,
1308.194,1182,1.61E-01,,,
1311.395,1190,1.43E-01,,,
1314.589,1189,1.45E-01,,,
1317.784,1192,1.38E-01,,,
1320.986,1205,1.09E-01,,,
1324.18,1196,1.29E-01,,,
1327.382,1198,1.25E-01,,,
1330.575,1194,1.34E-01,,,
1333.772,1197,1.27E-01,,,
1336.975,1203,1.14E-01,,,
1340.178,1186,1.52E-01,,,
1343.379,1175,1.77E-01,,,
1346.573,1184,1.57E-01,,,
1349.778,1206,1.07E-01,,,
1352.982,1192,1.38E-01,,,
1356.195,1184,1.57E-01,,,
1359.399,1201,1.18E-01,,,
1362.601,1208,1.02E-01,,,
1365.802,1196,1.29E-01,,,
1369.006,1195,1.32E-01,,,
1372.199,1198,1.25E-01,,,
1375.402,1196,1.29E-01,,,
1378.595,1202,1.16E-01,,,
1381.788,1199,1.23E-01,,,
1384.981,1199,1.23E-01,,,
1388.174,1185,1.54E-01,,,
1391.366,1194,1.34E-01,,,
1394.559,1197,1.27E-01,,,
1397.761,1184,1.57E-01,,,
1400.964,1195,1.32E-01,,,
1404.167,1184,1.57E-01,,,
1407.362,1201,1.18E-01,,,
1410.562,1197,1.27E-01,,,
1413.754,1200,1.20E-01,,,
1416.958,1201,1.18E-01,,,
1420.16,1201,1.18E-01,,,
1423.364,1197,1.27E-01,,,
1426.567,1187,1.50E-01,,,
1429.769,1190,1.43E-01,,,
1432.972,1201,1.18E-01,,,
1436.164,1202,1.16E-01,,,
1439.358,1201,1.18E-01,,,
1442.551,1194,1.34E-01,,,
1445.745,1194,1.34E-01,,,
1448.938,1183,1.59E-01,,,
1452.13,1200,1.20E-01,,,
1455.333,1196,1.29E-01,,,
1458.534,1186,1.52E-01,,,
1461.737,1201,1.18E-01,,,
1464.989,1201,1.18E-01,,,
1468.183,1187,1.50E-01,,,
1471.381,1201,1.18E-01,,,
1474.575,1199,1.23E-01,,,
1477.779,1196,1.29E-01,,,
1480.973,1194,1.34E-01,,,
1484.176,1203,1.14E-01,,,
1487.378,1190,1.43E-01,,,
1490.58,1199,1.23E-01,,,
1493.793,1198,1.25E-01,,,
1496.997,1186,1.52E-01,,,
1500.194,1173,1.82E-01,,,
1503.397,1192,1.38E-01,,,
1506.605,1195,1.32E-01,,,
1509.813,1190,1.43E-01,,,
1513.019,1195,1.32E-01,,,
1516.228,1199,1.23E-01,,,
1519.432,1180,1.66E-01,,,
1522.633,1187,1.50E-01,,,
1525.841,1189,1.45E-01,,,
1529.055,1183,1.59E-01,,,
1532.265,1188,1.48E-01,,,
1535.473,1187,1.50E-01,,,
1538.674,1181,1.63E-01,,,
1541.876,1183,1.59E-01,,,
1545.073,1186,1.52E-01,,,
1548.266,1187,1.50E-01,,,
1551.465,1188,1.48E-01,,,
1554.678,1192,1.38E-01,,,
1557.885,1190,1.43E-01,,,
1561.088,1193,1.36E-01,,,
1564.282,1188,1.48E-01,,,
1567.49,1198,1.25E-01,,,
1570.695,1194,1.34E-01,,,
1573.899,1195,1.32E-01,,,
1577.091,1184,1.57E-01,,,
1580.286,1195,1.32E-01,,,
1583.494,1195,1.32E-01,,,
1586.699,1192,1.38E-01,,,
1589.905,1200,1.20E-01,,,
1593.113,1192,1.38E-01,,,
1596.322,1192,1.38E-01,,,
1599.533,1196,1.29E-01,,,
1602.735,1192,1.38E-01,,,
1605.929,1193,1.36E-01,,,
1609.127,1171,1.86E-01,,,
1612.334,1190,1.43E-01,,,
1615.53,1185,1.54E-01,,,
1618.733,1189,1.45E-01,,,
1621.924,1187,1.50E-01,,,
1625.126,1188,1.48E-01,,,
1628.328,1197,1.27E-01,,,
1631.53,1191,1.41E-01,,,
1634.732,1191,1.41E-01,,,
1637.935,1195,1.32E-01,,,
1641.126,1191,1.41E-01,,,
1644.319,1196,1.29E-01,,,
1647.522,1184,1.57E-01,,,
1650.713,1191,1.41E-01,,,
1653.916,1187,1.50E-01,,,
1657.109,1183,1.59E-01,,,
1660.313,1193,1.36E-01,,,
1663.505,1199,1.23E-01,,,
,,,,,
,,,,,