"DateTime","RelativeTime (s)","Fine 1 (V)","Fine 2 (V)",
2021-07-16T13:04:42,0.000,0.326354,0.000178,
2021-07-16T13:04:43,1.006,0.441436,0.000504,
2021-07-16T13:04:44,2.001,0.441436,0.000504,
2021-07-16T13:04:45,3.000,0.306322,0.000152,
2021-07-16T13:04:46,4.006,0.306322,0.000152,
2021-07-16T13:04:47,4.997,0.441110,0.000152,
2021-07-16T13:04:48,6.000,0.441110,0.000512,
2021-07-16T13:04:49,7.008,0.441110,0.000526,
2021-07-16T13:04:50,7.998,0.431550,0.000526,
2021-07-16T13:04:51,9.006,0.306178,0.000505,
2021-07-16T13:04:52,10.007,0.306178,0.000505,
2021-07-16T13:04:53,10.997,0.306178,0.000505,
2021-07-16T13:04:54,12.000,0.314620,0.000514,
2021-07-16T13:04:55,13.000,0.314620,0.000514,
2021-07-16T13:04:56,13.995,0.325724,0.000514,
2021-07-16T13:04:57,15.001,0.325724,0.000514,
2021-07-16T13:04:58,15.997,0.353762,0.000055,
2021-07-16T13:04:59,17.005,0.353762,0.000055,
2021-07-16T13:05:00,18.008,0.412957,0.000113,
2021-07-16T13:05:01,19.001,0.412957,0.000113,
2021-07-16T13:05:02,20.007,0.301703,0.000008,
2021-07-16T13:05:03,20.997,0.301703,0.000008,
2021-07-16T13:05:04,22.001,0.301703,0.000495,
2021-07-16T13:05:05,23.000,0.308286,0.000495,
2021-07-16T13:05:06,23.997,0.308286,0.000524,
2021-07-16T13:05:07,25.001,0.311209,0.000524,
2021-07-16T13:05:08,26.001,0.311209,0.000518,
2021-07-16T13:05:09,26.999,0.264206,0.000518,
2021-07-16T13:05:10,28.005,0.264206,0.000489,
2021-07-16T13:05:11,28.995,0.295347,0.000489,
2021-07-16T13:05:12,29.996,0.295347,0.000489,
2021-07-16T13:05:13,31.001,0.340365,0.000508,
2021-07-16T13:05:14,32.004,0.340365,0.000508,
2021-07-16T13:05:15,32.995,0.287362,0.000527,
2021-07-16T13:05:16,34.000,0.287362,0.000527,
2021-07-16T13:05:17,35.005,0.350917,0.000520,
2021-07-16T13:05:18,35.999,0.350917,0.000520,
2021-07-16T13:05:19,37.002,0.290821,0.000493,
2021-07-16T13:05:20,37.997,0.290821,0.000493,
2021-07-16T13:05:21,39.003,0.354128,0.000509,
2021-07-16T13:05:22,40.000,0.354128,0.000509,
2021-07-16T13:05:23,41.001,0.354128,0.000509,
2021-07-16T13:05:24,42.000,0.349503,0.000509,
2021-07-16T13:05:25,43.001,0.349503,0.000435,
2021-07-16T13:05:26,44.009,0.438208,0.000435,
2021-07-16T13:05:27,44.996,0.438208,0.000293,
2021-07-16T13:05:28,46.000,0.323827,0.000293,
2021-07-16T13:05:29,46.999,0.323827,0.000532,
2021-07-16T13:05:30,48.005,0.340183,0.000532,
2021-07-16T13:05:31,49.000,0.340183,0.000203,
2021-07-16T13:05:32,50.003,0.331681,0.000203,
2021-07-16T13:05:33,51.003,0.331681,0.000521,
2021-07-16T13:05:34,52.001,0.273832,0.000521,
2021-07-16T13:05:35,53.000,0.273832,0.000511,
2021-07-16T13:05:36,54.000,0.455867,0.000511,
2021-07-16T13:05:37,54.996,0.455867,0.000511,
2021-07-16T13:05:38,56.009,0.335258,0.000524,
2021-07-16T13:05:39,56.997,0.335258,0.000524,
2021-07-16T13:05:40,58.006,0.353767,0.000507,
2021-07-16T13:05:41,58.995,0.353767,0.000507,
2021-07-16T13:05:42,59.996,0.449699,-0.000514,
2021-07-16T13:05:43,61.002,0.449699,-0.000514,
2021-07-16T13:05:44,61.998,0.405040,0.000484,
2021-07-16T13:05:45,63.001,0.405040,0.000484,
2021-07-16T13:05:46,63.996,0.446465,0.000427,
2021-07-16T13:05:47,65.006,0.446465,0.000427,
2021-07-16T13:05:48,65.996,0.444553,0.000516,
2021-07-16T13:05:49,67.006,0.444553,0.000516,
2021-07-16T13:05:50,67.999,0.449993,0.000539,
2021-07-16T13:05:51,69.002,0.449993,0.000539,
2021-07-16T13:05:52,70.007,0.427811,0.000484,
2021-07-16T13:05:53,71.008,0.427811,0.000484,
2021-07-16T13:05:54,72.012,0.335353,0.000519,
2021-07-16T13:05:55,73.013,0.335353,0.000519,
2021-07-16T13:05:56,74.019,0.352392,0.000459,
2021-07-16T13:05:57,75.013,0.352392,0.000459,
2021-07-16T13:05:58,76.016,0.342083,0.000523,
2021-07-16T13:05:59,77.011,0.342083,0.000523,
2021-07-16T13:06:00,78.017,0.339056,-0.001154,
2021-07-16T13:06:01,79.017,0.339056,-0.001154,
2021-07-16T13:06:02,80.015,0.454873,0.000521,
2021-07-16T13:06:03,81.017,0.454873,0.000521,
2021-07-16T13:06:04,82.019,0.327129,0.000521,
2021-07-16T13:06:05,83.011,0.327129,0.000502,
2021-07-16T13:06:06,84.013,0.401108,0.000529,
2021-07-16T13:06:07,85.014,0.401108,0.000529,
2021-07-16T13:06:08,86.019,0.352491,0.000529,
2021-07-16T13:06:09,87.012,0.352491,0.000235,
2021-07-16T13:06:10,88.018,0.367735,0.000235,
2021-07-16T13:06:11,89.016,0.367735,0.000520,
2021-07-16T13:06:12,90.020,0.356347,0.000520,
2021-07-16T13:06:13,91.011,0.356347,-0.001006,
2021-07-16T13:06:14,92.014,0.254868,-0.001006,
2021-07-16T13:06:15,93.025,0.254868,0.000484,
2021-07-16T13:06:16,94.015,0.254868,0.000484,
2021-07-16T13:06:17,95.025,0.455062,0.000506,
2021-07-16T13:06:18,96.022,0.455062,0.000506,
2021-07-16T13:06:19,97.022,0.345095,0.000528,
2021-07-16T13:06:20,98.025,0.345095,0.000528,
2021-07-16T13:06:21,99.021,0.347236,0.000491,
2021-07-16T13:06:22,100.011,0.347236,0.000491,
2021-07-16T13:06:23,101.016,0.355602,0.000533,
2021-07-16T13:06:24,102.017,0.355602,0.000533,
2021-07-16T13:06:25,103.016,0.383143,0.000500,
2021-07-16T13:06:26,104.021,0.383143,0.000500,
2021-07-16T13:06:27,105.012,0.299503,0.000500,
2021-07-16T13:06:28,106.017,0.299503,0.000506,
2021-07-16T13:06:29,107.017,0.417201,0.000506,
2021-07-16T13:06:30,108.015,0.417201,0.000527,
2021-07-16T13:06:31,109.021,0.279861,0.000527,
2021-07-16T13:06:32,110.017,0.279861,0.000519,
2021-07-16T13:06:33,111.016,0.398653,0.000519,
2021-07-16T13:06:34,112.019,0.398653,0.000487,
2021-07-16T13:06:35,113.022,0.311043,0.000487,
2021-07-16T13:06:36,114.011,0.311043,0.000500,
2021-07-16T13:06:37,115.017,0.329351,0.000500,
2021-07-16T13:06:38,116.011,0.329351,-0.000723,
2021-07-16T13:06:39,117.017,0.330178,-0.000723,
2021-07-16T13:06:40,118.015,0.330178,0.000458,
2021-07-16T13:06:41,119.022,0.281397,0.000458,
2021-07-16T13:06:42,120.016,0.281397,0.000515,
2021-07-16T13:06:43,121.011,0.282686,0.000515,
2021-07-16T13:06:44,122.015,0.282686,0.000294,
2021-07-16T13:06:45,123.017,0.440344,0.000294,
2021-07-16T13:06:46,124.012,0.440344,0.000522,
2021-07-16T13:06:47,125.017,0.453262,0.000522,
2021-07-16T13:06:48,126.019,0.453262,0.000514,
2021-07-16T13:06:49,127.020,0.401320,0.000514,
2021-07-16T13:06:50,128.025,0.401320,0.000491,
2021-07-16T13:06:51,129.023,0.390243,0.000491,
2021-07-16T13:06:52,130.014,0.390243,0.000538,
2021-07-16T13:06:53,131.017,0.339011,0.000538,
2021-07-16T13:06:54,132.039,0.339011,0.000532,
2021-07-16T13:06:55,133.028,0.327349,0.000532,
2021-07-16T13:06:56,134.031,0.327349,0.000375,
2021-07-16T13:06:57,135.033,0.356525,0.000375,
2021-07-16T13:06:58,136.029,0.356525,0.000508,
2021-07-16T13:06:59,137.030,0.441790,0.000508,
2021-07-16T13:07:00,138.038,0.441790,0.000524,
2021-07-16T13:07:01,139.032,0.306306,0.000524,
2021-07-16T13:07:02,140.040,0.306306,0.000524,
2021-07-16T13:07:03,141.035,0.306306,-0.002541,
2021-07-16T13:07:04,142.027,0.305004,-0.002541,
2021-07-16T13:07:05,143.047,0.305004,0.000260,
2021-07-16T13:07:06,144.054,0.352136,0.000260,
2021-07-16T13:07:07,145.063,0.352136,0.000518,
2021-07-16T13:07:08,146.065,0.320911,0.000518,
2021-07-16T13:07:09,147.068,0.320911,0.000557,
2021-07-16T13:07:10,148.058,0.434993,0.000557,
2021-07-16T13:07:11,149.058,0.434993,0.000533,
2021-07-16T13:07:12,150.064,0.447325,0.000533,
2021-07-16T13:07:13,151.065,0.447325,0.000527,
2021-07-16T13:07:14,152.065,0.394087,0.000527,
2021-07-16T13:07:15,153.062,0.394087,0.000369,
2021-07-16T13:07:16,154.060,0.299933,0.000369,
2021-07-16T13:07:17,155.065,0.299933,0.000473,
2021-07-16T13:07:18,156.060,0.353407,0.000473,
2021-07-16T13:07:19,157.065,0.353407,0.000473,
2021-07-16T13:07:20,158.065,0.457403,0.000515,
2021-07-16T13:07:21,159.065,0.457403,0.000515,
2021-07-16T13:07:22,160.069,0.254446,0.000532,
2021-07-16T13:07:23,161.071,0.254446,0.000532,
2021-07-16T13:07:24,162.063,0.254446,0.000522,
2021-07-16T13:07:25,163.069,0.418644,0.000522,
2021-07-16T13:07:26,164.060,0.418644,-0.000830,
2021-07-16T13:07:27,165.063,0.288082,-0.000830,
2021-07-16T13:07:28,166.065,0.288082,0.000545,
2021-07-16T13:07:29,167.058,0.360282,0.000545,
2021-07-16T13:07:30,168.062,0.360282,0.000065,
2021-07-16T13:07:31,169.065,0.358227,0.000065,
2021-07-16T13:07:32,170.063,0.358227,0.000524,
2021-07-16T13:07:33,171.068,0.318302,0.000524,
2021-07-16T13:07:34,172.065,0.318302,0.000519,
2021-07-16T13:07:35,173.062,0.271425,0.000519,
2021-07-16T13:07:36,174.065,0.271425,0.000519,
2021-07-16T13:07:37,175.070,0.281484,0.000472,
2021-07-16T13:07:38,176.071,0.281484,0.000472,
2021-07-16T13:07:39,177.060,0.384225,0.000524,
2021-07-16T13:07:40,178.060,0.384225,0.000524,
2021-07-16T13:07:41,179.060,0.340410,0.000518,
2021-07-16T13:07:42,180.061,0.340410,0.000518,
2021-07-16T13:07:43,181.064,0.428831,0.000386,
2021-07-16T13:07:44,182.060,0.428831,0.000386,
2021-07-16T13:07:45,183.063,0.387735,0.000532,
2021-07-16T13:07:46,184.063,0.387735,0.000532,
2021-07-16T13:07:47,185.066,0.346529,0.000454,
2021-07-16T13:07:48,186.061,0.346529,0.000454,
2021-07-16T13:07:49,187.066,0.380190,0.000521,
2021-07-16T13:07:50,188.071,0.380190,0.000521,
2021-07-16T13:07:51,189.077,0.331374,0.000507,
2021-07-16T13:07:52,190.080,0.331374,0.000507,
2021-07-16T13:07:53,191.079,0.384113,0.000532,
2021-07-16T13:07:54,192.085,0.384113,0.000532,
2021-07-16T13:07:55,193.075,0.268008,0.000535,
2021-07-16T13:07:56,194.073,0.268008,0.000535,
2021-07-16T13:07:57,195.086,0.378286,0.000522,
2021-07-16T13:07:58,196.078,0.378286,0.000522,
2021-07-16T13:07:59,197.085,0.334808,0.000529,
2021-07-16T13:08:00,198.080,0.334808,0.000529,
2021-07-16T13:08:01,199.089,0.333257,0.000503,
2021-07-16T13:08:02,200.100,0.333257,0.000503,
2021-07-16T13:08:03,201.090,0.339828,0.000503,
2021-07-16T13:08:04,202.093,0.339828,0.000526,
2021-07-16T13:08:05,203.101,0.339828,0.000526,
2021-07-16T13:08:06,204.089,0.334024,0.000116,
2021-07-16T13:08:07,205.096,0.334024,0.000116,
2021-07-16T13:08:08,206.103,0.327412,0.000516,
2021-07-16T13:08:09,207.094,0.327412,0.000516,
2021-07-16T13:08:10,208.111,0.387502,0.000540,
2021-07-16T13:08:11,209.106,0.387502,0.000540,
2021-07-16T13:08:12,210.112,0.341221,0.000528,
2021-07-16T13:08:13,211.106,0.341221,0.000528,
2021-07-16T13:08:14,212.107,0.387670,0.000496,
2021-07-16T13:08:15,213.110,0.387670,0.000496,
2021-07-16T13:08:16,214.105,0.384135,0.000491,
2021-07-16T13:08:17,215.105,0.384135,0.000491,
2021-07-16T13:08:18,216.106,0.384713,0.000518,
2021-07-16T13:08:19,217.110,0.384713,0.000518,
2021-07-16T13:08:20,218.105,0.343365,0.000530,
2021-07-16T13:08:21,219.106,0.343365,0.000530,
2021-07-16T13:08:22,220.110,0.386419,0.000520,
2021-07-16T13:08:23,221.105,0.386419,0.000520,
2021-07-16T13:08:24,222.115,0.337055,0.000526,
2021-07-16T13:08:25,223.110,0.337055,0.000526,
2021-07-16T13:08:26,224.108,0.383581,0.000526,
2021-07-16T13:08:27,225.114,0.383581,-0.003112,
2021-07-16T13:08:28,226.118,0.354694,-0.003112,
2021-07-16T13:08:29,227.112,0.354694,0.000459,
2021-07-16T13:08:30,228.105,0.380911,0.000459,
2021-07-16T13:08:31,229.109,0.380911,0.000517,
2021-07-16T13:08:32,230.105,0.311336,0.000517,
2021-07-16T13:08:33,231.109,0.311336,0.000482,
2021-07-16T13:08:34,232.110,0.311336,0.000482,
2021-07-16T13:08:35,233.105,0.385406,0.000516,
2021-07-16T13:08:36,234.105,0.385406,0.000516,
2021-07-16T13:08:37,235.112,0.332690,0.000424,
2021-07-16T13:08:38,236.113,0.332690,0.000424,
2021-07-16T13:08:39,237.106,0.331981,0.000424,
2021-07-16T13:08:40,238.111,0.331981,0.000506,
2021-07-16T13:08:41,239.116,0.347429,0.000506,
2021-07-16T13:08:42,240.112,0.347429,-0.001177,
2021-07-16T13:08:43,241.117,0.337383,-0.001177,
2021-07-16T13:08:44,242.107,0.337383,-0.000148,
2021-07-16T13:08:45,243.110,0.367413,-0.000148,
2021-07-16T13:08:46,244.118,0.367413,0.000295,
2021-07-16T13:08:47,245.111,0.346288,0.000295,
2021-07-16T13:08:48,246.107,0.346288,-0.001325,
2021-07-16T13:08:49,247.115,0.343651,-0.001325,
2021-07-16T13:08:50,248.107,0.343651,0.000517,
2021-07-16T13:08:51,249.115,0.380110,0.000517,
2021-07-16T13:08:52,250.118,0.380110,0.000491,
2021-07-16T13:08:53,251.107,0.288285,0.000491,
2021-07-16T13:08:54,252.105,0.288285,0.000521,
2021-07-16T13:08:55,253.106,0.334714,0.000521,
2021-07-16T13:08:56,254.105,0.334714,0.000544,
2021-07-16T13:08:57,255.114,0.383157,0.000544,
2021-07-16T13:08:58,256.110,0.383157,-0.000479,
2021-07-16T13:08:59,257.119,0.336280,-0.000479,
2021-07-16T13:09:00,258.105,0.336280,0.000524,
2021-07-16T13:09:01,259.107,0.330970,0.000524,
2021-07-16T13:09:02,260.110,0.330970,0.000522,
2021-07-16T13:09:03,261.110,0.338617,0.000522,
2021-07-16T13:09:04,262.110,0.338617,0.000519,
2021-07-16T13:09:05,263.105,0.297874,0.000519,
2021-07-16T13:09:06,264.110,0.297874,0.000528,
2021-07-16T13:09:07,265.111,0.297874,0.000528,
2021-07-16T13:09:08,266.111,0.368731,0.000528,
2021-07-16T13:09:09,267.105,0.368731,0.000225,
2021-07-16T13:09:10,268.115,0.354430,0.000225,
2021-07-16T13:09:11,269.109,0.354430,0.000368,
2021-07-16T13:09:12,270.110,0.341345,0.000368,
2021-07-16T13:09:13,271.109,0.341345,0.000499,
2021-07-16T13:09:14,272.117,0.342258,0.000499,
2021-07-16T13:09:15,273.110,0.342258,-0.001034,
2021-07-16T13:09:16,274.107,0.352563,-0.001034,
2021-07-16T13:09:17,275.110,0.352563,0.000038,
2021-07-16T13:09:18,276.115,0.371077,0.000038,
2021-07-16T13:09:19,277.112,0.371077,0.000234,
2021-07-16T13:09:20,278.115,0.386646,0.000234,
2021-07-16T13:09:21,279.110,0.386646,0.000200,
2021-07-16T13:09:22,280.111,0.339378,0.000200,
2021-07-16T13:09:23,281.106,0.339378,0.000522,
2021-07-16T13:09:24,282.115,0.380298,0.000522,
2021-07-16T13:09:25,283.106,0.380298,0.000528,
2021-07-16T13:09:26,284.105,0.341177,0.000528,
2021-07-16T13:09:27,285.116,0.341177,0.000509,
2021-07-16T13:09:28,286.105,0.266235,0.000509,
2021-07-16T13:09:29,287.106,0.266235,0.000524,
2021-07-16T13:09:30,288.105,0.375982,0.000524,
2021-07-16T13:09:31,289.115,0.375982,0.000504,
2021-07-16T13:09:32,290.110,0.375982,0.000504,
2021-07-16T13:09:33,291.110,0.344079,0.000505,
2021-07-16T13:09:34,292.105,0.344079,0.000505,
2021-07-16T13:09:35,293.110,0.385106,0.000505,
2021-07-16T13:09:36,294.115,0.385106,0.000505,
2021-07-16T13:09:37,295.106,0.341865,0.000414,
2021-07-16T13:09:38,296.114,0.341865,0.000414,
2021-07-16T13:09:39,297.106,0.363323,0.000519,
2021-07-16T13:09:40,298.110,0.363323,0.000519,
2021-07-16T13:09:41,299.110,0.386758,0.000536,
2021-07-16T13:09:42,300.111,0.386758,0.000536,
2021-07-16T13:09:43,301.108,0.386733,0.000498,
2021-07-16T13:09:44,302.115,0.386733,0.000498,
2021-07-16T13:09:45,303.110,0.368985,-0.006099,
2021-07-16T13:09:46,304.111,0.368985,-0.006099,
2021-07-16T13:09:47,305.115,0.367070,0.000514,
2021-07-16T13:09:48,306.117,0.367070,0.000514,
2021-07-16T13:09:49,307.113,0.348702,-0.000136,
2021-07-16T13:09:50,308.119,0.348702,-0.000136,
2021-07-16T13:09:51,309.105,0.386983,0.000447,
2021-07-16T13:09:52,310.115,0.386983,0.000447,
2021-07-16T13:09:53,311.108,0.346223,0.000508,
2021-07-16T13:09:54,312.118,0.346223,0.000508,
2021-07-16T13:09:55,313.105,0.270138,0.000521,
2021-07-16T13:09:56,314.115,0.270138,0.000521,
2021-07-16T13:09:57,315.109,0.359752,0.000521,
2021-07-16T13:09:58,316.110,0.359752,0.000481,
2021-07-16T13:09:59,317.109,0.365762,0.000481,
2021-07-16T13:10:00,318.105,0.365762,-0.002597,
2021-07-16T13:10:01,319.105,0.341720,-0.002597,
2021-07-16T13:10:02,320.111,0.341720,0.000449,
2021-07-16T13:10:03,321.115,0.338557,0.000449,
2021-07-16T13:10:04,322.112,0.338557,-0.000716,
2021-07-16T13:10:05,323.110,0.338820,-0.000716,
2021-07-16T13:10:06,324.113,0.338820,-0.002104,
2021-07-16T13:10:07,325.115,0.358029,-0.002104,
2021-07-16T13:10:08,326.105,0.358029,0.000328,
2021-07-16T13:10:09,327.106,0.368605,0.000328,
2021-07-16T13:10:10,328.116,0.368605,0.000419,
2021-07-16T13:10:11,329.109,0.368605,0.000419,
2021-07-16T13:10:12,330.115,0.351414,0.000514,
2021-07-16T13:10:13,331.118,0.351414,0.000514,
2021-07-16T13:10:14,332.105,0.333814,0.000506,
2021-07-16T13:10:15,333.114,0.333814,0.000506,
2021-07-16T13:10:16,334.116,0.339410,0.000524,
2021-07-16T13:10:17,335.110,0.339410,0.000524,
2021-07-16T13:10:18,336.115,0.353258,0.000489,
2021-07-16T13:10:19,337.112,0.353258,0.000489,
2021-07-16T13:10:20,338.109,0.345042,0.000508,
2021-07-16T13:10:21,339.105,0.345042,0.000508,
2021-07-16T13:10:22,340.115,0.386609,0.000339,
2021-07-16T13:10:23,341.120,0.386609,0.000339,
2021-07-16T13:10:24,342.122,0.335901,0.000480,
2021-07-16T13:10:26,343.344,0.335901,0.000480,
2021-07-16T13:10:26,344.126,0.357423,0.000512,
2021-07-16T13:10:27,345.123,0.357423,0.000512,
2021-07-16T13:10:28,346.121,0.381531,-0.002874,
2021-07-16T13:10:29,347.122,0.381531,-0.002874,
2021-07-16T13:10:30,348.120,0.357593,-0.002874,
2021-07-16T13:10:31,349.121,0.357593,0.000562,
2021-07-16T13:10:32,350.120,0.382822,0.000562,
2021-07-16T13:10:33,351.131,0.382822,0.000526,
2021-07-16T13:10:34,352.122,0.380047,0.000526,
2021-07-16T13:10:35,353.132,0.380047,0.000525,
2021-07-16T13:10:36,354.124,0.380047,0.000525,
2021-07-16T13:10:37,355.130,0.357634,0.000511,
2021-07-16T13:10:38,356.124,0.357634,0.000511,
2021-07-16T13:10:39,357.134,0.337327,-0.000003,
2021-07-16T13:10:40,358.128,0.337327,-0.000003,
2021-07-16T13:10:41,359.120,0.372457,0.000470,
2021-07-16T13:10:42,360.121,0.372457,0.000470,
2021-07-16T13:10:43,361.130,0.359392,0.000537,
2021-07-16T13:10:44,362.130,0.359392,0.000537,
2021-07-16T13:10:45,363.124,0.387297,0.000515,
2021-07-16T13:10:46,364.125,0.387297,0.000515,
2021-07-16T13:10:47,365.130,0.367197,0.000515,
2021-07-16T13:10:48,366.130,0.367197,0.000529,
2021-07-16T13:10:49,367.130,0.380582,0.000529,
2021-07-16T13:10:50,368.134,0.380582,0.000519,
2021-07-16T13:10:51,369.120,0.378216,0.000519,
2021-07-16T13:10:52,370.120,0.378216,0.000536,
2021-07-16T13:10:53,371.279,0.383956,0.000536,
2021-07-16T13:10:54,372.120,0.383956,0.000521,
2021-07-16T13:10:55,373.122,0.383130,0.000521,
2021-07-16T13:10:56,374.126,0.383130,0.000513,
2021-07-16T13:10:57,375.129,0.350573,0.000513,
2021-07-16T13:10:58,376.120,0.350573,0.000512,
2021-07-16T13:10:59,377.125,0.379969,0.000512,
2021-07-16T13:11:00,378.122,0.379969,0.000442,
2021-07-16T13:11:01,379.120,0.337172,0.000442,
2021-07-16T13:11:02,380.122,0.337172,0.000442,
2021-07-16T13:11:03,381.129,0.381095,0.000527,
2021-07-16T13:11:04,382.131,0.381095,0.000527,
2021-07-16T13:11:05,383.137,0.381095,0.000521,
2021-07-16T13:11:06,384.143,0.349019,0.000521,
2021-07-16T13:11:07,385.145,0.349019,0.000521,
2021-07-16T13:11:08,386.140,0.334608,0.000521,
2021-07-16T13:11:09,387.141,0.334608,-0.000376,
2021-07-16T13:11:10,388.145,0.338386,-0.000376,
2021-07-16T13:11:11,389.139,0.338386,0.000527,
