"Frequency (kHz)","Fine In 1 (V)","Fine In 2 (V)",
0.015028,0.005311,0.000003,
0.020037,0.019710,0.000030,
0.025046,0.009753,0.000041,
0.030055,0.007149,0.000034,
0.035064,0.019640,0.000028,
0.040074,0.008217,0.000039,
0.045083,0.001312,0.000033,
0.050092,0.002819,0.000041,
0.055101,0.007825,0.000012,
0.060110,0.002579,0.000024,
0.065120,0.008317,0.000036,
0.070129,0.001313,0.000009,
0.075138,0.002573,0.000016,
0.080147,0.002314,0.000029,
0.085156,0.002834,0.000033,
0.090166,0.002623,0.000014,
0.095175,0.001547,0.000018,
0.100184,0.011133,0.000024,
0.105193,0.002783,0.000044,
0.110202,0.003649,0.000039,
0.115212,0.001317,0.000024,
0.120221,0.008257,0.000016,
0.125230,0.002354,0.000012,
0.130239,0.002808,0.000013,
0.135248,0.004181,0.000046,
0.140258,0.004387,0.000043,
0.145267,0.002687,0.000005,
0.150276,0.000791,0.000015,
0.155285,0.004852,0.000034,
0.160294,0.001748,0.000018,
0.165304,0.001149,0.000020,
0.170313,0.000853,0.000025,
0.175322,0.002424,0.000060,
0.180331,0.001554,0.000039,
0.185340,0.002175,0.000034,
0.190350,0.001222,0.000036,
0.195359,0.001320,0.000082,
0.200368,0.000520,0.000116,
0.205377,0.000727,0.000035,
0.210386,0.003061,0.000031,
0.215396,0.000886,0.000030,
0.220405,0.001119,0.000210,
0.225414,0.000272,0.000046,
0.230423,0.003417,0.000039,
0.235432,0.000575,0.000038,
0.240442,0.002409,0.000233,
0.245451,0.002969,0.000103,
0.250460,0.002643,0.000062,
0.255469,0.000878,0.000050,
0.260478,0.002828,0.000054,
0.265488,0.005886,0.000115,
0.270497,0.000864,0.000042,
0.275506,0.004438,0.000167,
0.280515,0.000409,0.000025,
0.285524,0.003877,0.000053,
0.290534,0.000614,0.000048,
0.295543,0.004645,0.000089,
0.300552,0.002953,0.000055,
0.305561,0.001520,0.000071,
0.310570,0.002553,0.000037,
0.315580,0.002513,0.000024,
0.320589,0.002117,0.000017,
0.325598,0.000366,0.000016,
0.330607,0.004844,0.000031,
0.335616,0.000769,0.000032,
0.340626,0.001787,0.000025,
0.345635,0.000217,0.000024,
0.350644,0.002421,0.000023,
0.355653,0.000896,0.000028,
0.360663,0.002095,0.000020,
0.365672,0.003335,0.000016,
0.370681,0.001517,0.000005,
0.375690,0.001968,0.000020,
0.380699,0.001562,0.000036,
0.385709,0.002494,0.000053,
0.390718,0.000760,0.000048,
0.395727,0.003328,0.000022,
0.400736,0.000697,0.000012,
0.405745,0.000977,0.000057,
0.410755,0.000165,0.000039,
0.415764,0.001352,0.000046,
0.420773,0.001890,0.000020,
0.425782,0.000605,0.000033,
0.430791,0.001932,0.000069,
0.435801,0.001243,0.000041,
0.440810,0.000280,0.000120,
0.445819,0.000795,0.000021,
0.450828,0.000606,0.000097,
0.455837,0.000840,0.000011,
0.460847,0.001311,0.000110,
0.465856,0.000582,0.000035,
0.470865,0.000691,0.000096,
0.475874,0.000404,0.000087,
0.480883,0.000338,0.000074,
0.485893,0.000851,0.000104,
0.490902,0.000549,0.000060,
0.495911,0.000891,0.000066,
0.500920,0.000665,0.000022,
0.505929,0.000705,0.000066,
0.510939,0.000641,0.000024,
0.515948,0.000631,0.000158,
0.520957,0.000600,0.000054,
0.525966,0.000579,0.000059,
0.530975,0.000602,0.000089,
0.535984,0.000774,0.000102,
0.540994,0.000345,0.000108,
0.546003,0.000542,0.000032,
0.551012,0.000456,0.000056,
0.556021,0.000386,0.000032,
0.561030,0.000645,0.000082,
0.566040,0.000560,0.000007,
0.571049,0.001107,0.000035,
0.576058,0.000362,0.000023,
0.581067,0.000700,0.000075,
0.586076,0.000337,0.000055,
0.591085,0.000363,0.000014,
0.596095,0.000463,0.000054,
0.601104,0.000517,0.000027,
0.606113,0.000752,0.000077,
0.611122,0.000427,0.000042,
0.616131,0.000468,0.000022,
0.621140,0.000437,0.000035,
0.626150,0.000641,0.000070,
0.631159,0.000556,0.000042,
0.636168,0.001142,0.000014,
0.641177,0.000108,0.000048,
0.646186,0.000328,0.000028,
0.651195,0.000331,0.000075,
0.656205,0.000229,0.000039,
0.661214,0.000755,0.000024,
0.666223,0.000361,0.000023,
0.671232,0.000615,0.000121,
0.676241,0.000338,0.000041,
0.681251,0.000213,0.000076,
0.686260,0.000435,0.000040,
0.691269,0.000626,0.000100,
0.696278,0.000307,0.000062,
0.701287,0.000446,0.000031,
0.706296,0.000051,0.000022,
0.711306,0.000191,0.000004,
0.716315,0.000313,0.000144,
0.721324,0.000239,0.000012,
0.726333,0.000571,0.000041,
0.731342,0.000295,0.000046,
0.736351,0.000519,0.000116,
0.741361,0.000366,0.000043,
0.746370,0.000465,0.000026,
0.751379,0.000324,0.000018,
0.756388,0.000482,0.000137,
0.761397,0.000331,0.000127,
0.766406,0.000125,0.000063,
0.771416,0.000303,0.000033,
0.776425,0.000256,0.000060,
0.781434,0.000756,0.000171,
0.786443,0.000309,0.000014,
0.791452,0.000487,0.000048,
0.796462,0.000251,0.000044,
0.801471,0.000402,0.000083,
0.806480,0.000360,0.000052,
0.811489,0.000459,0.000029,
0.816498,0.000251,0.000008,
0.821507,0.000244,0.000040,
0.826517,0.000208,0.000088,
0.831526,0.000146,0.000047,
0.836535,0.000652,0.000021,
0.841544,0.000354,0.000019,
0.846553,0.000655,0.000080,
0.851562,0.000297,0.000032,
0.856572,0.000485,0.000020,
0.861581,0.000233,0.000009,
0.866590,0.000507,0.000077,
0.871599,0.000300,0.000097,
0.876608,0.000340,0.000035,
0.881617,0.000441,0.000031,
0.886627,0.000235,0.000012,
0.891636,0.000320,0.000086,
0.896645,0.000232,0.000039,
0.901654,0.000956,0.000047,
0.906663,0.000244,0.000074,
0.911673,0.000520,0.000080,
0.916682,0.000131,0.000042,
0.921691,0.000133,0.000032,
0.926700,0.000352,0.000010,
0.931709,0.000373,0.000031,
0.936718,0.000520,0.000081,
0.941728,0.000386,0.000009,
0.946737,0.000276,0.000039,
0.951746,0.000223,0.000026,
0.956755,0.000466,0.000126,
0.961764,0.000282,0.000043,
0.966773,0.000741,0.000028,
0.971783,0.000065,0.000036,
0.976792,0.000270,0.000052,
0.981801,0.000160,0.000043,
0.986810,0.000181,0.000030,
0.991819,0.000306,0.000032,
0.996828,0.000217,0.000052,
1.001838,0.000579,0.000079,
1.006847,0.000279,0.000039,
1.011856,0.000136,0.000059,
1.016865,0.000252,0.000025,
1.021874,0.000533,0.000123,
1.026884,0.000282,0.000059,
1.031893,0.000466,0.000019,
1.036902,0.000129,0.000054,
1.041911,0.000163,0.000076,
1.046920,0.000238,0.000098,
1.051929,0.000192,0.000062,
1.056939,0.000540,0.000058,
1.061948,0.000251,0.000037,
1.066957,0.000309,0.000062,
1.071966,0.000235,0.000064,
1.076975,0.000233,0.000059,
1.081985,0.000239,0.000042,
1.086994,0.000414,0.000014,
1.092003,0.000203,0.000022,
1.097012,0.000235,0.000018,
1.102021,0.000128,0.000009,
1.107030,0.000182,0.000046,
1.112040,0.000368,0.000057,
1.117049,0.000283,0.000013,
1.122058,0.000529,0.000033,
1.127067,0.000266,0.000023,
1.132076,0.000345,0.000046,
1.137085,0.000173,0.000027,
1.142095,0.000370,0.000019,
1.147104,0.000171,0.000070,
1.152113,0.000245,0.000010,
1.157122,0.000250,0.000067,
1.162131,0.000101,0.000016,
1.167140,0.000345,0.000010,
1.172150,0.000295,0.000032,
1.177159,0.000540,0.000095,
1.182168,0.000249,0.000004,
1.187177,0.000260,0.000039,
1.192186,0.000213,0.000018,
1.197196,0.000269,0.000074,
1.202205,0.000177,0.000070,
1.207214,0.000348,0.000015,
1.212223,0.000182,0.000058,
1.217232,0.000097,0.000008,
1.222241,0.000122,0.000061,
1.227251,0.000155,0.000023,
1.232260,0.000422,0.000067,
1.237269,0.000256,0.000040,
1.242278,0.000565,0.000028,
1.247287,0.000128,0.000031,
1.252296,0.000089,0.000024,
1.257306,0.000126,0.000037,
1.262315,0.000211,0.000068,
1.267324,0.000297,0.000017,
1.272333,0.000191,0.000036,
1.277342,0.000320,0.000077,
1.282351,0.000158,0.000039,
1.287361,0.000182,0.000098,
1.292370,0.000238,0.000052,
1.297379,0.000460,0.000032,
1.302388,0.000140,0.000028,
1.307397,0.000398,0.000041,
1.312407,0.000071,0.000104,
1.317416,0.000139,0.000111,
1.322425,0.000190,0.000069,
1.327434,0.000167,0.000029,
1.332443,0.000337,0.000035,
1.337452,0.000178,0.000015,
1.342462,0.000205,0.000070,
1.347471,0.000219,0.000028,
1.352480,0.000282,0.000064,
1.357489,0.000198,0.000044,
1.362498,0.000509,0.000015,
1.367507,0.000134,0.000020,
1.372517,0.000171,0.000023,
1.377526,0.000055,0.000030,
1.382535,0.000189,0.000016,
1.387544,0.000347,0.000042,
1.392553,0.000236,0.000018,
1.397563,0.000491,0.000075,
1.402572,0.000257,0.000009,
1.407581,0.000207,0.000015,
1.412590,0.000196,0.000025,
1.417599,0.000303,0.000064,
1.422608,0.000214,0.000041,
1.427618,0.000197,0.000019,
1.432627,0.000117,0.000038,
1.437636,0.000117,0.000024,
1.442645,0.000212,0.000084,
1.447654,0.000263,0.000025,
1.452663,0.000356,0.000089,
1.457673,0.000234,0.000016,
1.462682,0.000313,0.000037,
1.467691,0.000162,0.000013,
1.472700,0.000243,0.000012,
1.477709,0.000113,0.000043,
1.482718,0.000200,0.000024,
1.487728,0.000166,0.000064,
1.492737,0.000155,0.000020,
1.497746,0.000169,0.000120,
1.502755,0.000072,0.000060,
1.507764,0.000372,0.000035,
1.512774,0.000176,0.000063,
1.517783,0.000351,0.000005,
1.522792,0.000147,0.000020,
1.527801,0.000109,0.000041,
1.532810,0.000093,0.000031,
1.537819,0.000318,0.000096,
1.542829,0.000226,0.000020,
1.547838,0.000340,0.000051,
1.552847,0.000153,0.000064,
1.557856,0.000135,0.000049,
1.562865,0.000196,0.000033,
1.567874,0.000177,0.000020,
1.572884,0.000407,0.000010,
1.577893,0.000178,0.000029,
1.582902,0.000127,0.000107,
1.587911,0.000073,0.000068,
1.592920,0.000187,0.000017,
1.597929,0.000120,0.000061,
1.602939,0.000173,0.000020,
1.607948,0.000202,0.000019,
1.612957,0.000150,0.000017,
1.617966,0.000108,0.000048,
1.622975,0.000150,0.000047,
1.627985,0.000321,0.000057,
1.632994,0.000183,0.000021,
1.638003,0.000357,0.000079,
1.643012,0.000061,0.000019,
1.648021,0.000065,0.000035,
1.653030,0.000080,0.000068,
1.658040,0.000102,0.000030,
1.663049,0.000307,0.000075,
1.668058,0.000188,0.000023,
1.673067,0.000280,0.000038,
1.678076,0.000305,0.000035,
1.683085,0.000222,0.000060,
1.688095,0.000166,0.000027,
1.693104,0.000317,0.000034,
1.698113,0.000202,0.000038,
1.703122,0.000144,0.000065,
1.708131,0.000022,0.000027,
1.713140,0.000097,0.000037,
1.718150,0.000158,0.000055,
1.723159,0.000076,0.000036,
1.728168,0.000291,0.000087,
1.733177,0.000207,0.000014,
1.738186,0.000166,0.000032,
1.743196,0.000108,0.000008,
1.748205,0.000300,0.000024,
1.753214,0.000130,0.000071,
1.758223,0.000153,0.000048,
1.763232,0.000217,0.000019,
1.768241,0.000208,0.000047,
1.773251,0.000198,0.000067,
1.778260,0.000141,0.000081,
1.783269,0.000378,0.000043,
1.788278,0.000353,0.000057,
1.793287,0.000202,0.000017,
1.798296,0.000116,0.000020,
1.803306,0.000137,0.000065,
1.808315,0.000104,0.000033,
1.813324,0.000173,0.000021,
1.818333,0.000177,0.000044,
1.823342,0.000057,0.000076,
1.828351,0.000143,0.000103,
1.833361,0.000124,0.000019,
1.838370,0.000207,0.000065,
1.843379,0.000144,0.000019,
1.848388,0.000411,0.000059,
1.853397,0.000165,0.000023,
1.858407,0.000035,0.000054,
1.863416,0.000017,0.000048,
1.868425,0.000292,0.000027,
1.873434,0.000073,0.000064,
1.878443,0.000069,0.000026,
1.883452,0.000207,0.000018,
1.888462,0.000327,0.000042,
1.893471,0.000175,0.000053,
1.898480,0.000122,0.000007,
1.903489,0.000397,0.000037,
1.908498,0.000216,0.000035,
1.913507,0.000252,0.000064,
1.918517,0.000099,0.000029,
1.923526,0.000139,0.000071,
1.928535,0.000087,0.000072,
1.933544,0.000267,0.000017,
1.938553,0.000309,0.000037,
1.943563,0.000409,0.000044,
1.948572,0.000037,0.000035,
1.953581,0.000251,0.000033,
1.958590,0.000236,0.000051,
1.963599,0.000112,0.000029,
1.968608,0.000241,0.000062,
1.973618,0.000159,0.000015,
1.978627,0.000114,0.000003,
1.983636,0.000052,0.000031,
1.988645,0.000037,0.000013,
1.993654,0.000308,0.000077,
1.998663,0.000319,0.000032,
2.003673,0.000352,0.000012,
2.008682,0.000215,0.000035,
2.013691,0.000292,0.000024,
2.018700,0.000244,0.000026,
2.023709,0.000184,0.000016,
2.028718,0.000140,0.000066,
2.033728,0.000252,0.000051,
2.038737,0.000172,0.000042,
2.043746,0.000205,0.000035,
2.048755,0.000118,0.000034,
2.053764,0.000103,0.000043,
2.058774,0.000302,0.000045,
2.063783,0.000267,0.000058,
2.068792,0.000168,0.000069,
2.073801,0.000152,0.000037,
2.078810,0.000112,0.000039,
2.083819,0.000115,0.000015,
2.088829,0.000153,0.000039,
2.093838,0.000141,0.000057,
2.098847,0.000202,0.000034,
2.103856,0.000161,0.000015,
2.108865,0.000147,0.000017,
2.113874,0.000233,0.000100,
2.118884,0.000195,0.000020,
2.123893,0.000250,0.000066,
2.128902,0.000170,0.000023,
2.133911,0.000149,0.000068,
2.138920,0.000089,0.000022,
2.143929,0.000260,0.000049,
2.148939,0.000108,0.000037,
2.153948,0.000196,0.000038,
2.158957,0.000153,0.000023,
2.163966,0.000174,0.000057,
2.168975,0.000180,0.000030,
2.173985,0.000140,0.000011,
2.178994,0.000188,0.000046,
2.184003,0.000229,0.000037,
2.189012,0.000258,0.000055,
2.194021,0.000209,0.000055,
2.199030,0.000192,0.000049,
2.204040,0.000088,0.000026,
2.209049,0.000081,0.000024,
2.214058,0.000207,0.000051,
2.219067,0.000237,0.000051,
2.224076,0.000224,0.000029,
2.229085,0.000219,0.000029,
2.234095,0.000168,0.000035,
2.239104,0.000384,0.000024,
2.244113,0.000179,0.000020,
2.249122,0.000208,0.000043,
2.254131,0.000111,0.000034,
2.259140,0.000174,0.000053,
2.264150,0.000099,0.000040,
2.269159,0.000048,0.000072,
2.274168,0.000251,0.000028,
2.279177,0.000317,0.000020,
2.284186,0.000407,0.000044,
2.289196,0.000183,0.000041,
2.294205,0.000141,0.000028,
2.299214,0.000107,0.000044,
2.304223,0.000036,0.000042,
2.309232,0.000230,0.000041,
2.314241,0.000123,0.000077,
2.319251,0.000165,0.000014,
2.324260,0.000265,0.000011,
2.329269,0.000134,0.000049,
2.334278,0.000300,0.000071,
2.339287,0.000161,0.000054,
2.344296,0.000069,0.000023,
2.349306,0.000087,0.000011,
2.354315,0.000244,0.000047,
2.359324,0.000263,0.000030,
2.364333,0.000377,0.000080,
2.369342,0.000159,0.000014,
2.374352,0.000211,0.000046,
2.379361,0.000172,0.000030,
2.384370,0.000245,0.000018,
2.389379,0.000226,0.000035,
2.394388,0.000155,0.000013,
2.399397,0.000357,0.000096,
2.404407,0.000295,0.000044,
2.409416,0.000178,0.000028,
2.414425,0.000150,0.000013,
2.419434,0.000180,0.000058,
2.424443,0.000195,0.000020,
2.429452,0.000182,0.000030,
2.434462,0.000278,0.000045,
2.439471,0.000051,0.000009,
2.444480,0.000089,0.000080,
2.449489,0.000394,0.000021,
2.454498,0.000251,0.000039,
2.459507,0.000230,0.000030,
2.464517,0.000139,0.000020,
2.469526,0.000260,0.000029,
2.474535,0.000284,0.000030,
2.479544,0.000185,0.000019,
2.484553,0.000261,0.000048,
2.489563,0.000329,0.000050,
2.494572,0.000205,0.000032,
2.499581,0.000161,0.000046,
2.504590,0.000291,0.000028,
2.509599,0.000192,0.000120,
2.514608,0.000276,0.000011,
2.519618,0.000231,0.000015,
2.524627,0.000048,0.000088,
2.529636,0.000292,0.000021,
2.534645,0.000277,0.000019,
2.539654,0.000129,0.000049,
2.544663,0.000192,0.000019,
2.549673,0.000014,0.000043,
2.554682,0.000163,0.000056,
2.559691,0.000260,0.000032,
